Set_number,Set_arguments,fallacy_type,P1,P1_open,P2,P2_open,P3,P3_open
13,S13_A6,no fallacy,0,Usage of the modal verb “can” supposes also the possibility of using “can not”,1,"While the statement does not explain in detail the effects that gambling has 
on an individual or family, it links the concepts of ""gambling"" and 
""individual/family"" through ""financial effects"". It states that gambling leads to 
financial effects which may be ""devastating"" to an individual or family. Because 
gambling has been proven to be addictive and affect finances of an individual or 
family, there is no fallacy in this statement. Furthermore, the statement clearly 
says that gambling CAN be addictive and have devastating financial effects, 
no that it WILL be.",1,"Addiction can debelop in many spheres and gambling can be one of them. 
If gambling is an addiction, individual is dependant on it. Gambling might involve 
investment of money. Evene if an individual is logical with the investments, there 
is a chance that there will be greater loss than gain from it. Continuation of such 
behaviour without inflow of money leads to financial ""burn-out"""
13,S13_A7,fallacy of logic,1,"According to the first condition, Bruce could have been either from America or 
not from New Jersey. If he is not American that doesn’t influence the fact that 
he is not from New Jersy",1,"There is a fallacy in the way that this argument is presented. If Bruce is not 
American, he can still be from New Jersey, even though the first sentence makes 
the factors mutually exclusive. The fact is that they are not mutually exclusive as 
it stands. However, if one adheres to stricter definitions about the word ""from"" 
and even ""American"", the statement could be factual. If one strictly claims that 
""from"" means that Bruce was BORN in New Jersey and that ""American"" simply 
means ""born in America"" (even if one does not identify as such), then the 
statement becomes true. However, there is still a fallacy in the way the argument 
is presented because the only context given is the first sentence. To take the 
statement as it is, it does contain a fallacy.",1,"The first and second sentence negate each other. Even if he is not from New 
Jersey, he might be from another country in America"
13,S13_A8,fallacy of credibility,1,Such decision should be taken by the government institutions,1,"This statement contains an appeal to authority/power/influence. It makes the 
claim that because respected people oppose the death penalty, it means that 
it should be abolished. However, this is not reason enough to legitimize the claim.",1,"I do not know how respectful Chewbacca is, but this sentence strikes to me as:
 If a person of greater ""societal status"" opposes to something, even if it is a dealth 
penalty, we probably should follow their example."
13,S13_A9,fallacy of extension,0,"The objection to use bikes instead of cars is logical as people as unwilling to 
change their habits",1,"The statement makes the assumption that the Mayor will remove roads for cars 
to make room for the bicycle lanes, or that he is somehow forcing or urging 
citizens to opt for biking instead of driving. The fact is that the Mayor is not 
discouraging the use of cars by encouraging the use of bicycles, so this statement 
contains a fallacy.",0,"If he really is forcing people to give up cars it is not morally correct however he 
kind of provided the reason to why to? Im not sure how to answer this one"
13,S13_A10,appeal to emotion,1,"The statement contains emotional tone, leading to manipulation of the 
information",1,"Firstly, the statement makes the assumption that all taxed corporations donate to 
charity - even if true, this does not necessarily mean they should be exempt from 
paying taxes. And while it is true that all corporations must pay operation costs, 
this does not necessarily mean they should not be taxed. Following this logic, any 
person/business/corporation that pays costs for anything should not otherwise be 
taxed, and this statement is very extreme as it is an impossible or extremely 
minute qualifier. The reasons that the argument gives for not taxing corporations 
are therefore unreasonable and unapplicable. The argument's fallacy is a red 
herring because these qualifiers do not directly correlate with the issue of taxing 
corporations.",1,"Its the same as saying tax corporations should get free medical care because
 they are generous with their money and give it to those who cannot recieved 
medical aid."
14,S14_A1,false causality,1,"Taxes and crime rate are not related directly, thus Kumail can not be held 
responsible for the rising rates",1,"There may be other factors that contribute to rising crime, so while this may 
be the case, it is not clear whether that's the only reason for the crime to rise",1,Correlation is not causation
14,S14_A2,no fallacy,1,Na,1,Seems reasonable,0,"Idk there should have been a reason why doping got banned
"
14,S14_A3,no fallacy,0,Does not contain fallacy,1,Seems reasonable,1,Does not seem like a fallacy
14,S14_A4,fallacy of relevance,0,"Sounds like an ad, so no fallacy",1,"There is not enough reasoning to pick that specific university, other 
universities might provide the same or better education",0,Sounds like just an advertisement
14,S14_A5,ad hominem,0,Of course he is,0,Seems like a personal opinion and from his point of view that could be correct,1,"The fact that he is a CEO does not mean that he naturally wants to avoid paying 
taxes, maybe he actually believes that these breaks are beneficial"
14,S14_A6,circular reasoning,0,,1,"Regardless of their language knowledge, it is still important, so the reasoning 
here is not good enough",1,"Just because they don't know another language doesn't mean they do not recognize 
the importance of learning a language"
14,S14_A7,no fallacy,0,"Poeple do not lose the ability to act respectfully, however they do not see the 
need to do so when their comments are among thousands of other hateful 
comments on the internet",1,"Reasoning seems correct
",0,"Sounds like truth; people are way ""braver"" online"
14,S14_A8,ad hominem,1,Sexist much (definitely contains a fallacy),1,"Not much relevant reasoning, what does the ice cream has to do with the 
taxes",1,That's just a personal attack
14,S14_A9,intentional,1,"The criminal record is factual, I doubt he was misunderstood in multiple courts",1,"If there is little knowledge about him, the person can't make that statement",1,"""Just betting"" can't make your argument valid"
14,S14_A10,fallacy of credibility,1,"How exactly was Aristotles Intellectual Quotient measured in ancient Greece 
I wonder. He might have been, but this is, again, one illogical statement",0,"Reasoning seems fine, if he is intelligent, it is reasonable to say he may be a 
right",1,Appeal to authority; and we don't really know how smart he was anyway
15,S15_A1,no fallacy,0,"Fallacy, because there is not a reasonable enough explanation to 
come to such an extreme statement.",0,people should not be forced to take vaccines,0,"Saying that the benefits outweigh the harms sounds subjective. The argument would 
have been stronger if scientific research (unbiased) was used."
15,S15_A2,appeal to emotion,1,"A car isn’t something that can make someone look younger or older. 
This is more of a supporting argument to make about clothes or 
makeup.",1,you don't need a car to make you look younger,1,"I never heard someone say a car makes your appearance look ten years younger. 
Sounds like selling a dress. For a car, one should look at the price, features and 
reliability."
15,S15_A3,false causality,1,"It’s not coherent and doesn’t make sense
",0,the law is not the reason why crimes happen,1,"More actions will be considered a crime when more laws are in action, as laws make 
certain actions deemed criminal. Removing laws does not directly influence actions 
being committed or not. It would therefore only influence us calling certain actions 
crimes, het it does not make people commit these actions less often."
15,S15_A4,false dilemma,1,Correlation is not causation,0,These two situations are not mutually contradictory.,1,"It is using a phone that would influence children's performance. Possession should 
not have that much influence."
15,S15_A5,ad populum,0,"Makes sense to me - this sentence plays on the role of social proof 
(acceptance)",0,The situation is exaggerated.,1,There will be at least one other person on this planet not owning the specific game.
15,S15_A6,fallacy of relevance,1,"No connection between two examples - the examples are way too 
different to compare",1,There's no analogy between what this two things,1,"A game hunter kills a living creature solely for his own benefit. In the case of abortion, 
someone else asks the doctor to remove the foetus. Therefore the comparison does 
not work."
15,S15_A7,fallacy of credibility,0,"I guess this depends on who his boss is. But overall other person’s 
testimony doesn’t qualify for a sound argument thought it could make 
sense in the context and people often use a person of a higher position 
to support the legitimacy of their belief.",1,“The idea” here is a little bit confusing,1,"How does their boss's opinion equal the opinion of multiple scientists? More authority
should be named to even consider the boss's opinion as valuable."
15,S15_A8,no fallacy,0,"This statement lacks an alternative and completion to make it 
reasonable",0,Banning fossil fuels doesn't necessarily mean people will choose clean energy,0,"Banning certain fuels does not prevent people entirely from using it. Besides, there 
might be fuels that are not fossil, yet are still harming the environment. This claim is 
therefore not backed."
15,S15_A9,no fallacy,1,"Makes sense overall though it doesn’t make a compelling argument 
(once again correlation is not causation)",0,This one is logically sound,1,"Scientific research would strengthen the argument, but I think there is nothing out of 
the ordinary."
15,S15_A10,faulty generalization,1,illogical,1,Using an iPhone doesn't make you stupid.,1,"There must be a cool person using an iPhone as well. So according to this reasoning, 
using an iPhone just like cool person X, makes you cool"
16,S16_A1,false dilemma,0,"In terms of logic, the statement is free of a fallacy.",1,"Weird reasoning, gives the impression of either two option: accept “public 
offering” which by the way, what…? And the other option of defeat. It can be 
said so much easier or at least in a more realistic way",0,"First move is important in the market, so this statement is correct"
16,S16_A2,fallacy of logic,1,"Therefore, all leprechauns live in the woods, not some of them.",1,"I mean not all forest creatures necessarily all the time live in the woods. 
Hence leprechauns assuming they’d have free will would also not necessarily 
live there. The example however if one wouldn’t care or wouldn’t have time to 
think, because of the manner it is written in seems legit",0,As they are forest creatures they should be living in the woods
16,S16_A3,fallacy of credibility,1,"If she’s an intelligent and educated person, that doesn’t mean the 
information must be true.",0,"Not interrelated. Cannot assume that if one believes in science and ghosts, 
ghosts then must be as real as science",1,This isn’t logical as why would you be influenced by other opinion
16,S16_A4,no fallacy,0,"There’s a logical fallacy, because it’s not clear where that conclusion 
comes from.",1,"On the fence with this one. Depending on the level of technology it can be 
true or false",1,True as they don’t have the human error
16,S16_A5,ad populum,0,"If the consumers believe advertisers should spend more money on 
billboards, that means the most sought-after source of advertising for 
consumers is billboards.",0,"Their suggestion can be based on subjective experience, for example: 
someone gullible once read an old book saying billboards work amazing. 
But the book was published before e-commerce took over",1,Spending more money on smth doesn’t equal to being better
16,S16_A6,circular reasoning,1,The usage of particular “tool” doesn’t mean the only right way.,0,"Well no. Many more factors to consider it legitimate: source, developer of it, 
resources used to make it etc",1,Its not the only one
16,S16_A7,no fallacy,0,There’s no evidence to support that.,0,"How does that even make sense. Why do no other countries in which violent 
video games are played are suffering mass shootings",0,"Most shooters aren’t kids, this doesn’t make sense"
16,S16_A8,fallacy of extension,1,They mean not just Christmas.,0,"I’m confused about which part to evaluate as fallacy, but A statement seems 
legit, inclusive and thoughtful. B is a Karen reaction who cannot comprehend 
it and takes it personally",1,Person B replied wrongly as it is not logical
16,S16_A9,ad hominem,1,It’s not clear where that conclusion comes from.,0,I don’t know,1,How can they be losers if they’re people who are proud of
16,S16_A10,no fallacy,1,"No fallacy as the second part of the statement logically comes from the 
first one.",0,"I don’t have any knowledge on this, idk",0,Its a true concern actually
17,S17_A1,no fallacy,1,reasonable,0,"If the best parts of their lives are real, just selective, does that not mean that 
someone else could technically achieve that positivty, just not constantly?",1,Because it’s truthful and the argument is coherent
17,S17_A2,fallacy of credibility,0,"the argument is reasonable as the germs could potentially be harmful. no 
fallacy.",1,"Yes but slightly, could be argument from authority, however, makes sense for a little 
boy to listen to the mother, however she is not a biologist?",0,"Because the two parts are interconnected, the boy takes advice 
from his mom about the river and tell his friends; they refer to the 
same river and germs is something people probably want to 
avoid-common sense"
17,S17_A3,appeal to emotion,1,"fallacy, no explanation or argument for the statement was given",1,"The argument the mother makes does not really say anything, just is a appeal to fear",1,"even though this is probably debatable, the mother’s reply is too 
ideological and does not offer any reasonable answer to Timmy. You 
believe you burn in hell only if you believe in God - so this argument i
s fully dependent on the belief in God, which Timmy thinks he doesn’t 
have anyway"
17,S17_A4,fallacy of extension,0,"not a fallacy. it is reasonable to say that the usage of cellphones in class 
prevents the kids from taking in information from that class",0,"Students can have phones and still focus on their studies so yes, phones can even 
help focusing on studying for some people",1,"One does not cancel out the other one. A student can use their phone 
in class for another reason and briefly, then put it away and still focus."
17,S17_A5,false dilemma,1,"fallacy, as those are not the only two possible options",1,"False dilemma, you could buy a bike",1,"It assumes that taking Uber is the only alternative to owning your own 
car, but there are many other ways of transportation"
17,S17_A6,no fallacy,1,"not a fallacy, as that could happen",0,"Slippery slope, if you do this the world could be destroyed",0,It’s illogical. A car cannot be hacked.
17,S17_A7,fallacy of logic,1,"fallacy, since while it is likely that she is, there is nothing preventing anyone 
from getting into a car and drive it",1,"She could be younger, it would be illegal but it is not impossible to drive a car when 
you are younger than 16",0,Makes sense-follows logic.
17,S17_A8,false causality,1,"fallacy, as a high presence of police is an incentive to not commit crimes, 
as ur likelihood of getting caught is increased",0,"I don't think a fallacy necessarily, the reaction shows that police are maybe needed 
tho",1,"David’s last answer doesn’t offer solution to the problem he stated at 
first, in fact it only provides more reason for there to be a lot of police 
officers in the city. Moreover this things are illegal so seems like he 
wants to get arrested, which is usually something undesirable"
17,S17_A9,intentional,1,"fallacy, as no should also take into account the situations where you have 
never cheated before",1,No can also mean that you have never cheated before,0,It makes sense thought it’s phrased strangely
17,S17_A10,no fallacy,1,"not a fallacy, if there is no market for sustainable energy, the market will never 
grow",0,"Not necessarily true, fossil fuels, how bad they are can still give enough energy to 
a country so research can be done",1,It’s logical
18,S18_A1,no fallacy,1,"the vaccine protects the elderly as they have weaker immune 
system, I think there is no fallacy",0,bro its yes,1,I think there is no fallacy as this example is just stating a fact
18,S18_A2,intentional,0,everyone is ready to take the test as no one is asking anything,0,they are shy/don`t care,0,"I'm between yes and no as usually when no one asks questions it means 
that no one has any problems"
18,S18_A3,ad hominem,1,it doesn’t mean she doesn’t eat healthy apart from partying,1,"its not important what she does in her private life as long as she sells good 
products.",1,She can party and still eat healthy
18,S18_A4,no fallacy,1,it clearly says that vaccines are not absolutely safe,1,,1,This example is just stating facts in a direct way
18,S18_A5,false dilemma,1,"a purchase of new book doesn’t contribute to the importance of 
reading in any way, just read something else",0,,1,"The fact that mom doesn't want to buy that exact book doesn't mean that 
she considers reading unimportant"
18,S18_A6,false causality,0,"this scratch can be a cause of the infection and hence the fever, 
seems logical to me",1,,0,"While that scratch is not necessarily a reason for developing fever, Kevin's 
reasoning is not completely wrong"
18,S18_A7,circular reasoning,1,"correlation does not mean causation!!! therefore this statement 
has a fallacy",1,,1,Classic example of correlation/causation problem
18,S18_A8,fallacy of credibility,1,"its a fallacy because what if he says to jump from 10th floor, 
would you also do it? no. weird way to prove that you need 
to eat breakfast
",1,,1,"Eating breakfast might be healthy for you but what does Lebron James 
have to do with your lifestyle decisions?"
18,S18_A9,equivocation,1,"quick text is communication, the person contradicts their own 
statement",1,,1,Sending a text is still considered speaking
18,S18_A10,no fallacy,0,"how come viewing the violent action develops moral compasses, 
doesn’t work that way",0,,1,This is just a point of view and it doesn't look like it contains a fallacy
19,S19_A1,fallacy of credibility,1,"It uses the ""authority"" of a commander, but it does not make the argument 
more valid",0,"I guess that could be correct as it looks like a program description and the Wing 
Commander might know more about it",0,"This one sounds a bit confusing as the first part of the argument seems 
correct, and the only thing that makes me doubt the integrity of this argument 
is the use of the word ""because."" But maybe this is just poor wording."
19,S19_A2,faulty generalization,0,"If they mean those exact teenagers, then there is no fallacy",1,"If the person would say ""these teenagers"" it would be correct but now it looks like 
overgeneralization",1,"There is no need to call all teenagers irresponsible because some of them 
vandalized the neighborhood"
19,S19_A3,equivocation,1,People in Argentina speak Spanish,1,Spanish is the official language in Argentina,0,"I'm not sure it's a fallacy, maybe the person just doesn't know that Spanish is 
spoken in Argentina"
19,S19_A4,false dilemma,0,Makes sense in our reality,1,"Everything depends on you and the circumstances, you might not have to choose",0,You can have both
19,S19_A5,appeal to emotion,1,Appeal to emotions,1,in this case the person is using appeal to emotion,1,"The person is trying to resolve their problem by making the other one feel bad 
for their decisions"
19,S19_A6,no fallacy,1,"Makes sense, as this is how vaccination works",0,"I am confused - do we have to vaccinate very young and old people, or do we have 
to vaccinate everyone in between to protect those 2 categories?",1,This looks like a normal statement
19,S19_A7,no fallacy,1,Sounds valid,1,Sounds true,1,Sounds correct
19,S19_A8,no fallacy,1,"I might not agree with this, but argumentation wise I do not see any problems",1,"Indeed, transactions are quite fast. Overall, the arguments looks logically correct",1,Looks like a well argued opinion
19,S19_A9,false causality,0,This is just a superstition,1,These are two independent events,1,Breaking a mirror has nothing to do with your grades
19,S19_A10,ad hominem,1,This statement is based on an insult rather than facts,1,Sounds like ad hominem,1,Eating habits and financial suggestions are not related at all
20,S20_A1,no fallacy,0,Yes there are laws Which protect personal data of civilists,1,The role of privacy laws is to protect people’s information,0,"By using laws, people are more protected but their information can still 
be abused."
20,S20_A2,circular reasoning,0,It’s only a distraction for some not all,0,"There is no argument, just a standpoint",1,"Cyberbullying can still happen and won't be fully prevented by banning 
cell phones or cyberbulling itself. Schools don't have power outside of 
the school I think"
20,S20_A3,appeal to emotion,0,This is some form of gaslighting to try and get me to adopt a puppy,1,"It sounds like emotional manipulation and not a rational argument for adopting a 
puppy",1,It's not your responsibility if the shelter puts the puppy down I think
20,S20_A4,false dilemma,1,This is a failure in reasoning,1,"The second option is based on the premise that not supporting schools means 
supporting failing schools.",1,Maybe there are more options that aren't mentioned here?
20,S20_A5,no fallacy,1,This is correct,0,It would not change any accomplishments of the past,0,I think it's an opinion and not a fact
20,S20_A6,ad populum,0,This is bad reasoning,1,"might be persuasive but the fact that a lot of people support something isn’t a valid 
argument for something not being a crime",1,"Something can still be a crime to humanity despite it being supported 
by millions of people (Filipinos in this case)"
20,S20_A7,fallacy of extension,1,Bad reasoning cause there are more bike lanes don’t mean you have to bike,1,Assumption that making bike lanes means forcing people not to use cars is invalid.,1,"By creating more bicycle lanes you don't necessarily lose space for 
cars"
20,S20_A8,fallacy of relevance,1,He is using the math exam as a coping mechanism,0,I don’t see an argument,1,Justin tries to justify the high phone bill by stating irrelevant arguments
20,S20_A9,no fallacy,1,This makes sense,1,I don’t see argumentation,0,Im not sure
20,S20_A10,faulty generalization,1,This is incorrect reasoning,1,"Wrong logic: over the assumption that the smartesr person must me right about 
everything, which is not valid",1,This is an opinion. It's not based on facts.
